City,Latitude,Temperature (°F),Humidity,Wind Speed,Cloudiness
Ribeira Grande,38.52,66.48,92,16.24,80
Mar del Plata,-46.43,42.54,91,9.06,100
Timizart,36.8,64.5,67,9.82,0
Bereda,43.27,64.0,77,2.24,0
Arraial do Cabo,-22.97,76.2,81,1.9,17
Punta Arenas,-53.16,37.4,93,12.75,90
Kaitangata,-46.28,42.01,76,4.0,83
San Patricio,-26.98,60.18,96,3.24,93
Caravelas,-17.73,75.66,83,6.82,0
Yellowknife,62.45,48.2,42,5.82,40
Avarua,-21.21,78.8,78,17.22,0
Shimoda,34.7,77.0,78,10.29,75
Cabo San Lucas,22.89,84.2,72,18.34,5
Wawa,9.9,76.56,83,7.54,84
Anta,-13.47,48.2,49,3.36,56
Kavieng,-2.57,85.56,72,11.34,72
Khatanga,71.98,61.62,44,13.65,80
Ushuaia,-54.81,33.8,74,11.41,75
Onega,63.91,44.88,62,13.6,0
Licheng,24.5,77.46,78,2.98,85
Port Hawkesbury,45.62,45.0,100,3.36,90
Puerto Ayora,-0.74,73.99,93,4.0,19
Mount Gambier,-37.83,53.6,81,5.82,90
Atuona,-9.8,82.5,76,15.1,14
Georgetown,6.8,77.0,94,4.7,20
Fortuna,38.18,62.01,77,3.36,0
Batemans Bay,-35.71,64.0,54,3.0,0
Bluff,-23.58,66.3,31,10.76,67
Vila,45.18,63.0,82,5.82,0
Fredericksburg,38.3,77.0,100,4.7,75
Namibe,-15.19,66.12,82,12.12,0
Chuy,-33.69,60.0,64,5.5,78
Mahebourg,-20.41,73.4,94,1.12,75
New Norfolk,-42.78,59.0,58,12.75,20
Terrace,54.52,59.0,77,18.34,90
Busselton,-33.64,66.99,40,12.19,44
Kodiak,39.95,71.6,43,4.7,1
Jamestown,-33.21,54.6,69,8.41,85
Port Alfred,-33.59,60.01,95,2.62,78
Hilo,19.71,78.01,83,9.17,90
Batsfjord,70.63,41.0,93,4.7,0
Olsztyn,53.78,50.0,100,2.24,40
Rikitea,-23.12,75.48,85,10.83,60
Rio Grande,-32.03,54.24,85,3.13,1
Matata,-37.89,57.0,69,5.99,97
Faya,18.39,69.8,37,4.7,40
Cherskiy,68.75,61.44,35,7.83,100
Arman,59.7,46.68,83,3.56,100
Santa Isabel,4.71,73.4,100,3.36,75
Ixtapa,20.71,77.0,88,6.93,90
East London,-33.02,56.4,89,1.95,12
Cape Town,-33.93,55.99,93,3.36,4
Srednekolymsk,67.46,48.66,73,15.64,96
Tual,-5.67,82.32,81,19.86,100
Valdemarpils,57.37,48.2,100,5.82,90
Chicama,-7.84,66.2,93,10.29,20
Tura,25.52,86.64,67,4.68,6
Castro,-42.48,50.0,100,11.41,90
Maniitsoq,65.42,41.82,70,5.41,0
Monterey,36.6,68.0,82,6.93,90
Butaritari,3.07,83.94,74,9.35,79
Lorengau,-2.02,82.5,87,7.74,92
Katsuura,33.93,75.99,53,12.75,75
Albany,42.65,61.0,82,5.82,1
Kapaa,22.08,84.2,65,11.41,1
Portland,45.52,80.6,47,12.75,40
Acajutla,13.59,73.99,87,5.01,100
Pevek,69.7,36.96,79,14.83,0
Yurimaguas,-5.9,74.76,79,2.48,79
Saint-Philippe,45.36,53.6,54,4.7,1
Bredasdorp,-34.53,42.8,93,2.75,0
Victoria,5.28,87.8,74,2.24,75
Suraabad,40.82,64.4,68,1.12,0
Pestretsy,55.75,60.8,93,6.71,40
Vaini,15.34,75.2,83,3.36,75
Mataura,-46.19,45.0,77,7.0,99
Chokurdakh,70.62,43.26,65,12.66,29
Esperance,10.24,80.01,78,2.24,91
Tuatapere,-46.13,45.0,77,7.0,100
Quelimane,-17.88,62.52,98,3.98,0
